season,raceName,Supersoft,Soft,Medium,Hard,Ultrasoft,weather
2016,Australian Grand Prix,1,1,1,0,0,Dry
2016,Bahrain Grand Prix,1,1,1,0,0,Dry
2016,Chinese Grand Prix,1,1,1,0,0,Dry
2016,Russian Grand Prix,1,1,1,0,0,Dry
2016,Spanish Grand Prix,0,1,1,1,0,Dry
2016,Monaco Grand Prix,1,1,0,0,1,Varied
2016,Canadian Grand Prix,1,1,0,0,1,Dry
2016,Azerbaijan Grand Prix,1,1,1,0,0,Dry
2016,Austrian Grand Prix,1,1,0,0,1,Dry
2016,British Grand Prix,0,1,1,1,0,Varied
2016,Hungarian Grand Prix,1,1,1,0,0,Dry
2016,German Grand Prix,1,1,1,0,0,Dry
2016,Italian Grand Prix,1,1,1,0,0,Dry
2016,Belgian Grand Prix,1,1,1,0,0,Dry
2016,Singapore Grand Prix,1,1,0,0,1,Dry
2016,Malaysian Grand Prix,0,1,1,1,0,Dry
2016,Japanese Grand Prix,0,1,1,1,0,Dry
2016,United States Grand Prix,1,1,1,0,0,Dry
2016,Mexican Grand Prix,1,1,1,0,0,Dry
2016,Brazilian Grand Prix,0,1,1,1,0,Wet
2016,Abu Dhabi Grand Prix,1,1,0,0,1,Dry
2015,Australian Grand Prix,0,1,1,0,0,Dry
2015,Malaysian Grand Prix,0,0,1,1,0,Dry
2015,Chinese Grand Prix,0,1,1,0,0,Dry
2015,Bahrain Grand Prix,0,1,1,0,0,Dry
2015,Spanish Grand Prix,0,0,1,1,0,Dry
2015,Monaco Grand Prix,1,1,0,0,0,Dry
2015,Canadian Grand Prix,1,1,0,0,0,Dry
2015,Austrian Grand Prix,1,1,0,0,0,Dry
2015,British Grand Prix,0,0,1,1,0,Varied
2015,Hungarian Grand Prix,0,1,1,0,0,Dry
2015,Belgian Grand Prix,0,1,1,0,0,Dry
2015,Italian Grand Prix,0,1,1,0,0,Dry
2015,Singapore Grand Prix,1,1,0,0,0,Dry
2015,Japanese Grand Prix,0,0,1,1,0,Dry
2015,Russian Grand Prix,1,1,0,0,0,Dry
2015,United States Grand Prix,0,1,1,0,0,Varied
2015,Mexican Grand Prix,0,1,1,0,0,Dry
2015,Brazilian Grand Prix,0,1,1,0,0,Dry
2015,Abu Dhabi Grand Prix,1,1,0,0,0,Dry
2017,Australian Grand Prix,1,1,0,0,1,Dry
2017,Chinese Grand Prix,1,1,1,0,0,Dry
2017,Bahrain Grand Prix,1,1,1,0,0,Wet
2017,Russian Grand Prix,1,1,0,0,1,Dry
2017,Spanish Grand Prix,0,1,1,1,0,Dry
2017,Monaco Grand Prix,1,1,0,0,1,Dry
2017,Canadian Grand Prix,1,1,0,0,1,Dry
2017,Azerbaijan Grand Prix,1,1,1,0,0,Dy
2017,Austrian Grand Prix,1,1,0,0,1,Dry
2017,British Grand Prix,1,1,1,0,0,Dry
2017,Hungarian Grand Prix,1,1,1,0,0,Dry
2017,Belgian Grand Prix,1,1,0,0,1,Dry
2017,Italian Grand Prix,1,1,1,0,0,Dry
2017,Singapore Grand Prix,1,1,0,0,1,Wet
2017,Malaysian Grand Prix,1,1,1,0,0,Dry
2017,Japanese Grand Prix,1,1,1,0,0,Dry
2017,United States Grand Prix,1,1,0,0,1,Dry
2017,Mexican Grand Prix,1,1,0,0,1,Dry
2017,Brazilian Grand Prix,1,1,1,0,0,Dry
2017,Abu Dhabi Grand Prix,1,1,0,0,1,Dry